fusion_id	tissue	gene1_tpm	gene2_tpm	log2_ratio	hotspot_status	hotspot_reason
PHF6::HPRT1_i_i_912279	Cells_Cultured_fibroblasts	7.21	68.77	-3.237	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Cells_EBV-transformed_lymphocytes	13.57	136.54	-3.321	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Cervix_Ectocervix	4.28	24.88	-2.513	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Cervix_Endocervix	4.22	25.44	-2.565	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Colon_Sigmoid	2.93	17.74	-2.557	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Colon_Transverse	2.74	19.67	-2.801	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Colon_Transverse_Mixed_Cell	2.22	17.01	-2.885	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Colon_Transverse_Mucosa	2.28	15.37	-2.702	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Colon_Transverse_Muscularis	1.52	16.25	-3.332	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Esophagus_Gastroesophageal_Junction	2.73	16.85	-2.583	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Esophagus_Mucosa	3.65	26.05	-2.804	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Esophagus_Muscularis	2.73	16.91	-2.589	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Fallopian_Tube	3.97	31.19	-2.941	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Heart_Atrial_Appendage	1.4	16.07	-3.432	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Heart_Left_Ventricle	0.91	12.17	-3.597	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Kidney_Cortex	1.77	25.27	-3.763	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Kidney_Medulla	2.99	27.22	-3.145	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Liver	1.17	12.16	-3.271	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Liver_Hepatocyte	1	10.34	-3.249	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Liver_Mixed_Cell	1.14	13.32	-3.435	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Liver_Portal_Tract	3.24	25.52	-2.938	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Lung	4.13	26.32	-2.642	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Minor_Salivary_Gland	4.07	19	-2.195	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Muscle_Skeletal	1.08	13.97	-3.58	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Nerve_Tibial	5.19	22.94	-2.122	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Ovary	14.16	32.43	-1.19	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Pancreas	1.51	15.99	-3.321	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Pancreas_Acini	1.19	13.43	-3.389	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Pancreas_Islets	2.16	33.62	-3.899	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Pancreas_Mixed_Cell	1.28	12.94	-3.245	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Pituitary	3.94	53.57	-3.73	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Prostate	3.55	22	-2.596	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Skin_Not_Sun_Exposed_Suprapubic	2.92	18.48	-2.622	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Skin_Sun_Exposed_Lower_leg	2.9	18.03	-2.595	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Small_Intestine_Terminal_Ileum	3.46	22.42	-2.661	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate	6.71	22.75	-1.746	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Small_Intestine_Terminal_Ileum_Mixed_Cell	3.66	24.28	-2.695	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Spleen	4.57	26.62	-2.515	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Stomach	2.07	24.96	-3.527	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Stomach_Mixed_Cell	1.58	28.97	-4.11	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Stomach_Mucosa	1.23	26.93	-4.344	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Stomach_Muscularis	1.43	15.34	-3.335	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Testis	3.49	119.54	-5.06	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Thyroid	5.03	32.39	-2.662	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Uterus	4.88	25.11	-2.339	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Vagina	4.47	24.17	-2.41	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Whole_Blood	0.74	14.94	-4.165	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Adipose_Subcutaneous	0.02	12.07	-6.708	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Adipose_Visceral_Omentum	0	12.23	-6.946	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Adrenal_Gland	10.24	1.17	3.027	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Artery_Aorta	0.01	12.45	-6.775	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Artery_Coronary	0.02	12.39	-6.683	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Artery_Tibial	0.02	9.31	-6.262	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Bladder	0	8.74	-6.466	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Amygdala	10.98	1.06	3.253	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Anterior_cingulate_cortex_BA24	22.37	1.18	4.138	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Caudate_basal_ganglia	13.27	1.18	3.388	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Cerebellar_Hemisphere	61.56	24.15	1.346	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Cerebellum	39.43	29.76	0.405	Not hotspot	NA
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Cortex	16.7	1.54	3.361	Hotspot	Large expression difference (log2 ratio > 1)
RALYL::ENSG00000255201_i_i_30EFE4	Brain_Frontal_Cortex_BA9	30.29	1.17	4.578	Hotspot	Large expression difference (log2 ratio > 1)
